track_name,artist,genre,track_uri,track_link,track_preview,album
Detroit Rock City,KISS,Rock,spotify:track:3uz0O62HqYoyRiWZjS61KK,https://open.spotify.com/track/3uz0O62HqYoyRiWZjS61KK,,Smashes Thrashes & Hits
All Along the Watchtower,Jimi Hendrix,Rock,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://open.spotify.com/track/2aoo2jlRnM3A0NyLQqMN2f,https://p.scdn.co/mp3-preview/4f5eb4f96894dcab22691ebc7605cdbc4a7e70aa?cid=334acd00a2d445cb9077c0c4cf57f5a9,Electric Ladyland
Uprising,Muse,Rock,spotify:track:4VqPOruhp5EdPBeR92t6lQ,https://open.spotify.com/track/4VqPOruhp5EdPBeR92t6lQ,https://p.scdn.co/mp3-preview/529eb48df232955cdd3b870f21e2bd41f1657fae?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Resistance
Message In A Bottle,The Police,Rock,spotify:track:1oYYd2gnWZYrt89EBXdFiO,https://open.spotify.com/track/1oYYd2gnWZYrt89EBXdFiO,,Reggatta De Blanc (Remastered 2003)
Barracuda,Heart,Rock,spotify:track:4KfSdst7rW39C0sfhArdrz,https://open.spotify.com/track/4KfSdst7rW39C0sfhArdrz,https://p.scdn.co/mp3-preview/b742393cfac34ba605f319a4a8169ed2581bd18b?cid=334acd00a2d445cb9077c0c4cf57f5a9,Little Queen
Mr. Brightside,The Killers,Rock,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,,Hot Fuss
1979 - Remastered 2012,The Smashing Pumpkins,Rock,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://open.spotify.com/track/5QLHGv0DfpeXLNFo7SFEy1,,Mellon Collie And The Infinite Sadness (Deluxe Edition)
Fly Away,Lenny Kravitz,Rock,spotify:track:1OxcIUqVmVYxT6427tbhDW,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW,,5
I Hate Myself for Loving You,Joan Jett & the Blackhearts,Rock,spotify:track:2HXixVqzzm9rEUIMAWzshl,https://open.spotify.com/track/2HXixVqzzm9rEUIMAWzshl,https://p.scdn.co/mp3-preview/0fa72b951448a088f3de9b9018b61478b2075238?cid=334acd00a2d445cb9077c0c4cf57f5a9,Up Your Alley
Last Nite,The Strokes,Rock,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://open.spotify.com/track/3SUusuA9jH1v6PVwtYMbdv,https://p.scdn.co/mp3-preview/9757c503fb2174e4db5ff087bb14d5d7d0b8f62a?cid=334acd00a2d445cb9077c0c4cf57f5a9,Is This It
Jump - 2015 Remaster,Van Halen,Rock,spotify:track:5FqYA8KfiwsQvyBI4IamnY,https://open.spotify.com/track/5FqYA8KfiwsQvyBI4IamnY,https://p.scdn.co/mp3-preview/86b253d59e8485604c5cdcba34b67caa9307c17f?cid=334acd00a2d445cb9077c0c4cf57f5a9,The Collection
Black Magic Woman - Single Version,Santana,Rock,spotify:track:4YMQXzscifAREG0a7KNGhB,https://open.spotify.com/track/4YMQXzscifAREG0a7KNGhB,https://p.scdn.co/mp3-preview/0c6f2f23c5b8a2501444271043d57f2a9aca37c4?cid=334acd00a2d445cb9077c0c4cf57f5a9,Santana's Greatest Hits
The Boys Are Back In Town,Thin Lizzy,Rock,spotify:track:43DeSV93pJPT4lCZaWZ6b1,https://open.spotify.com/track/43DeSV93pJPT4lCZaWZ6b1,,Jailbreak (Deluxe Edition)
No One Knows,Queens of the Stone Age,Rock,spotify:track:6y20BV5L33R8YXM0YuI38N,https://open.spotify.com/track/6y20BV5L33R8YXM0YuI38N,,Songs For The Deaf
Where The Streets Have No Name - Remastered,U2,Rock,spotify:track:4qgZs0RNjdzKAS22lP0QjY,https://open.spotify.com/track/4qgZs0RNjdzKAS22lP0QjY,,The Joshua Tree (Super Deluxe)
(Don't Fear) The Reaper,Blue Öyster Cult,Rock,spotify:track:5QTxFnGygVM4jFQiBovmRo,https://open.spotify.com/track/5QTxFnGygVM4jFQiBovmRo,https://p.scdn.co/mp3-preview/ad97ce828e504498e211b6525c5ccee86642786b?cid=334acd00a2d445cb9077c0c4cf57f5a9,Agents Of Fortune
Africa,TOTO,Rock,spotify:track:2374M0fQpWi3dLnB54qaLX,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=334acd00a2d445cb9077c0c4cf57f5a9,Toto IV
Bring Me To Life - Remastered 2023,Evanescence,Rock,spotify:track:2UYK6Xdo2519MY0o2NtA3n,https://open.spotify.com/track/2UYK6Xdo2519MY0o2NtA3n,,Fallen (Deluxe Edition / Remastered 2023)
Change (In the House of Flies),Deftones,Rock,spotify:track:51c94ac31swyDQj9B3Lzs3,https://open.spotify.com/track/51c94ac31swyDQj9B3Lzs3,https://p.scdn.co/mp3-preview/d0fca1a516d07cea609f8f259faf940af456cdfa?cid=334acd00a2d445cb9077c0c4cf57f5a9,White Pony
